,Name,Company,Country
128,Bike Share Toronto,"['Motivate International, Inc.', 'PBSC Urban Solutions']",CA
129,SoBi,['Social Bicycles Inc.'],CA
130,VeloGO,"['CycleHop, LLC', 'Social Bicycles Inc.']",CA
131,ArborBike,"['Clean Energy Coalition', 'BCycle, LLC']",US
132,Pavia in bici,['Comunicare S.r.l.'],IT
133,Bici Perugia,['Comunicare S.r.l.'],IT
134,Austin B-cycle,"['BCycle, LLC']",US
135,Bike Chattanooga,"['Motivate International, Inc', 'PBSC']",US
136,Mi Muovo in Bici,['Comunicare S.r.l.'],IT
137,Pinerolo,['Comunicare S.r.l.'],IT
138,BIKETOWN,"['Portland Bureau of Transportation (PBOT)', 'Motivate International, Inc', 'Social Bicycles Inc.']",US
139,Mi Muovo in Bici,['Comunicare S.r.l.'],IT
140,BRiteBikes,"['CycleHop, LLC', 'Social Bicycles Inc.']",US
141,Boise GreenBike,"['ValleyRide', 'Social Bicycles Inc.']",US
142,Boulder B-cycle,"['BCycle, LLC']",US
143,Breeze Bike Share,"['CycleHop, LLC', 'Social Bicycles Inc.']",US
144,Mi Muovo in Bici,['Comunicare S.r.l.'],IT
145,Broward B-cycle,"['BCycle, LLC']",US
146,Bublr Bikes,"['BCycle, LLC']",US
147,Reddy Bike Share,"['Shared Mobility Inc.', 'Social Bicycles Inc.']",US
148,Capital BikeShare,"['Motivate International, Inc.', 'PBSC Urban Solutions']",US
149,Charlotte B-cycle,"['BCycle, LLC']",US
150,Saluzzo,['Comunicare S.r.l.'],IT
151,Cincy Red Bike,"['BCycle, LLC']",US
152,Savigliano,['Comunicare S.r.l.'],IT
153,Citi Bike,"['NYC Bike Share, LLC', 'Motivate International, Inc.', 'PBSC Urban Solutions']",US
154,Coast Bike Share,"['CycleHop, LLC', 'Social Bicycles Inc.']",US
155,Terni,['Comunicare S.r.l.'],IT
156,CoGo,"['Motivate International, Inc.', 'PBSC Urban Solutions']",US
157,Denver B-cycle,"['BCycle, LLC']",US
158,Divvy,"['Motivate International, Inc.', 'PBSC Urban Solutions']",US
159,Tirano in Bici,['Comunicare S.r.l.'],IT
160,El Paso B-cycle,"['BCycle, LLC']",US
161,Fort Worth Bike Sharing,"['BCycle, LLC']",US
162,Udine,['Comunicare S.r.l.'],IT
163,Great Rides Bike Share,"['BCycle, LLC']",US
164,GREENbike,"['BCycle, LLC']",US
165,Grid Bike Share,"['CycleHop, LLC', 'Social Bicycles Inc.']",US
166,Heartland B-cycle,"['BCycle, LLC']",US
167,Houston B-cycle,"['BCycle, LLC']",US
168,Blue Bikes,"['Motivate International, Inc.', 'PBSC Urban Solutions']",US
169,Ustica,['Comunicare S.r.l.'],IT
170,Indego,"['City of Philadelphia', 'Bicycle Transit Systems', 'BCycle, LLC']",US
171,Indiana Pacers Bikeshare,"['BCycle, LLC']",US
172,Juice,"['CycleHop, LLC', 'Social Bicycles Inc.']",US
